pbatard/rufus,https://github.com/pbatard/rufus,The Reliable USB Formatting Utility,C,2019年4月10日 GMT+8 上午4:37
cea-sec/Sibyl,https://github.com/cea-sec/Sibyl,A Miasm2 based function divination.,Python,2019年4月8日 GMT+8 下午10:43
dutchcoders/transfer.sh,https://github.com/dutchcoders/transfer.sh,Easy and fast file sharing from the command-line.,Go,2019年4月9日 GMT+8 上午1:30
horsicq/stringsx64dbg,https://github.com/horsicq/stringsx64dbg,Strings plugin for x64dbg,C,2019年4月10日 GMT+8 上午12:21
0xAX/linux-insides,https://github.com/0xAX/linux-insides,A little bit about a linux kernel,Python,2019年3月29日 GMT+8 下午7:39
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,Ghidra is a software reverse engineering (SRE) framework,Java,2019年4月10日 GMT+8 上午7:09
changeofpace/Self-Remapping-Code,https://github.com/changeofpace/Self-Remapping-Code,This program remaps its image to prevent the page protection of pages contained in the image from being modified via NtProtectVirtualMemory.,C++,2019年3月19日 GMT+8 下午6:14
NASA-SW-VnV/ikos,https://github.com/NASA-SW-VnV/ikos,Static analyzer for C/C++ based on the theory of Abstract Interpretation.,C++,2019年4月9日 GMT+8 上午7:59
WireGuard/WireGuard,https://github.com/WireGuard/WireGuard,Mirror only. Official repository is at https://git.zx2c4.com/WireGuard,C,2019年4月6日 GMT+8 下午7:12
wbenny/DetoursNT,https://github.com/wbenny/DetoursNT,Detours with just single dependency - NTDLL,C++,2019年2月24日 GMT+8 上午4:46
wbenny/pdbex,https://github.com/wbenny/pdbex,pdbex is a utility for reconstructing structures and unions from the PDB into compilable C headers,C++,2019年4月9日 GMT+8 下午9:56
trailofbits/remill,https://github.com/trailofbits/remill,"Library for lifting of x86, amd64, and aarch64 machine code to LLVM bitcode",C++,2019年4月4日 GMT+8 下午12:15
cksystemsteaching/selfie,https://github.com/cksystemsteaching/selfie,"An educational software system of a tiny self-compiling C compiler, a tiny self-executing RISC-V emulator, and a tiny self-hosting RISC-V hypervisor.",C,2019年4月10日 GMT+8 上午6:28
rxi/microui,https://github.com/rxi/microui,Tiny immediate-mode UI library,C,2019年3月31日 GMT+8 上午1:19
Mattiwatti/PPLKiller,https://github.com/Mattiwatti/PPLKiller,Protected Processes Light Killer,C++,2019年2月17日 GMT+8 上午2:25
michel-pi/GameOverlay.Net,https://github.com/michel-pi/GameOverlay.Net,Draw hardware accelerated graphics using our Direct2D1 renderer and create transparent click-through windows.,C#,2019年4月2日 GMT+8 下午4:31
ionescu007/VisualUefi,https://github.com/ionescu007/VisualUefi,A project for allowing EDK-II Development with Visual Studio,C,2019年3月23日 GMT+8 上午4:33
ContionMig/ContionMig-AntiCheat,https://github.com/ContionMig/ContionMig-AntiCheat,"Anti Cheat i made in my free time. Credits to everyone who helped are in the files and some are in the code. I will definitely improve this Anti Cheat along the way, now its just beta. Enjoy.",C,2019年3月30日 GMT+8 上午9:54
zevv/duc,https://github.com/zevv/duc,"Dude, where are my bytes: Duc, a library and suite of tools for inspecting disk usage",C,2019年4月7日 GMT+8 上午9:49
radareorg/cutter,https://github.com/radareorg/cutter,Free and open-source GUI for radare2 reverse engineering framework,C++,2019年4月10日 GMT+8 上午5:06
hasherezade/bearparser,https://github.com/hasherezade/bearparser,Portable Executable parsing library (from PE-bear),C++,2019年1月14日 GMT+8 上午6:03
Speedi13/BFV-Decryption,https://github.com/Speedi13/BFV-Decryption,BFV Decryption Demo,C++,2019年4月4日 GMT+8 下午7:40
Sycnex/Windows10Debloater,https://github.com/Sycnex/Windows10Debloater,Script to remove Windows 10 bloatware.,PowerShell,2019年3月28日 GMT+8 上午6:34
stevemk14ebr/PolyHook,https://github.com/stevemk14ebr/PolyHook,x86/x64 C++ Hooking Library,C++,2018年7月19日 GMT+8 上午1:00
ChadSki/SharpNeedle,https://github.com/ChadSki/SharpNeedle,Inject C# code into a running process,C++,2018年7月18日 GMT+8 上午10:18
ajkhoury/SigMaker-x64,https://github.com/ajkhoury/SigMaker-x64,IDA Pro 7.0 compatible SigMaker plugin,C++,2018年11月22日 GMT+8 上午5:26
Ahmadmansoor/AdvancedScript,https://github.com/Ahmadmansoor/AdvancedScript,"Add More Features for x64dbg Script System,with some Functions which will help Plugin Coder",C,2019年4月3日 GMT+8 下午8:30
strivexjun/MemoryModulePP,https://github.com/strivexjun/MemoryModulePP,modify from memorymodule. support exception,C,2019年3月10日 GMT+8 下午1:22
